bits,  st_START,  st_state1,  st_state10,  st_state100,  st_state101,  st_state102,  st_state103,  st_state104,  st_state105,  st_state106,  st_state107,  st_state108,  st_state109,  st_state11,  st_state110,  st_state111,  st_state112,  st_state113,  st_state114,  st_state115,  st_state116,  st_state117,  st_state118,  st_state119,  st_state12,  st_state120,  st_state121,  st_state13,  st_state14,  st_state15,  st_state16,  st_state17,  st_state18,  st_state19,  st_state2,  st_state20,  st_state21,  st_state22,  st_state23,  st_state24,  st_state25,  st_state26,  st_state27,  st_state28,  st_state29,  st_state3,  st_state30,  st_state31,  st_state32,  st_state33,  st_state34,  st_state35,  st_state36,  st_state37,  st_state38,  st_state39,  st_state4,  st_state40,  st_state41,  st_state42,  st_state43,  st_state44,  st_state45,  st_state46,  st_state47,  st_state48,  st_state49,  st_state5,  st_state50,  st_state51,  st_state52,  st_state53,  st_state54,  st_state55,  st_state56,  st_state57,  st_state58,  st_state59,  st_state6,  st_state60,  st_state61,  st_state62,  st_state63,  st_state64,  st_state65,  st_state66,  st_state67,  st_state68,  st_state69,  st_state7,  st_state70,  st_state71,  st_state72,  st_state73,  st_state74,  st_state75,  st_state76,  st_state77,  st_state78,  st_state79,  st_state8,  st_state80,  st_state81,  st_state82,  st_state83,  st_state84,  st_state85,  st_state86,  st_state87,  st_state88,  st_state89,  st_state9,  st_state90,  st_state91,  st_state92,  st_state93,  st_state94,  st_state95,  st_state96,  st_state97,  st_state98,  st_state99, 
 15,  22532,  2244,  610,  773,  16906,  646,  8292,  24864,  616,  1320,  17666,  18466,  46,  17984,  18564,  180,  24586,  11272,  9252,  22784,  18960,  8199,  8244,  212,  24896,  18576,  2097,  9408,  9345,  16496,  27136,  9088,  8465,  3344,  6150,  23552,  3616,  2570,  3712,  3138,  1604,  834,  25344,  897,  1188,  404,  116,  898,  3216,  2185,  150,  3144,  1037,  1162,  12308,  24624,  8472,  1360,  2196,  12560,  5168,  5378,  16658,  16899,  657,  23,  596,  9474,  7184,  10320,  4115,  6177,  14464,  10260,  2256,  2322,  3332,  16419,  4866,  15,  20490,  25090,  300,  2098,  1548,  4122,  2563,  2074,  526,  2818,  2696,  778,  8737,  8236,  19968,  10756,  6154,  18441,  1283,  11265,  788,  267,  10250,  12306,  2352,  1297,  3232,  25616,  17921,  28704,  3336,  833,  4230,  2124,  26688,  2632,  2832,  10500,  2248,  198,  1576,  3840, 
 15, 0b101100000000100, 0b000100011000100, 0b000001001100010, 0b000001100000101, 0b100001000001010, 0b000001010000110, 0b010000001100100, 0b110000100100000, 0b000001001101000, 0b000010100101000, 0b100010100000010, 0b100100000100010, 0b000000000101110, 0b100011001000000, 0b100100010000100, 0b000000010110100, 0b110000000001010, 0b010110000001000, 0b010010000100100, 0b101100100000000, 0b100101000010000, 0b010000000000111, 0b010000000110100, 0b000000011010100, 0b110000101000000, 0b100100010010000, 0b000100000110001, 0b010010011000000, 0b010010010000001, 0b100000001110000, 0b110101000000000, 0b010001110000000, 0b010000100010001, 0b000110100010000, 0b001100000000110, 0b101110000000000, 0b000111000100000, 0b000101000001010, 0b000111010000000, 0b000110001000010, 0b000011001000100, 0b000001101000010, 0b110001100000000, 0b000001110000001, 0b000010010100100, 0b000000110010100, 0b000000001110100, 0b000001110000010, 0b000110010010000, 0b000100010001001, 0b000000010010110, 0b000110001001000, 0b000010000001101, 0b000010010001010, 0b011000000010100, 0b110000000110000, 0b010000100011000, 0b000010101010000, 0b000100010010100, 0b011000100010000, 0b001010000110000, 0b001010100000010, 0b100000100010010, 0b100001000000011, 0b000001010010001, 0b000000000010111, 0b000001001010100, 0b010010100000010, 0b001110000010000, 0b010100001010000, 0b001000000010011, 0b001100000100001, 0b011100010000000, 0b010100000010100, 0b000100011010000, 0b000100100010010, 0b000110100000100, 0b100000000100011, 0b001001100000010, 0b000000000001111, 0b101000000001010, 0b110001000000010, 0b000000100101100, 0b000100000110010, 0b000011000001100, 0b001000000011010, 0b000101000000011, 0b000100000011010, 0b000001000001110, 0b000101100000010, 0b000101010001000, 0b000001100001010, 0b010001000100001, 0b010000000101100, 0b100111000000000, 0b010101000000100, 0b001100000001010, 0b100100000001001, 0b000010100000011, 0b010110000000001, 0b000001100010100, 0b000000100001011, 0b010100000001010, 0b011000000010010, 0b000100100110000, 0b000010100010001, 0b000110010100000, 0b110010000010000, 0b100011000000001, 0b111000000100000, 0b000110100001000, 0b000001101000001, 0b001000010000110, 0b000100001001100, 0b110100001000000, 0b000101001001000, 0b000101100010000, 0b010100100000100, 0b000100011001000, 0b000000011000110, 0b000011000101000, 0b000111100000000, 
 14,  6402,  2328,  4866,  4648,  4896,  4320,  15360,  12448,  3840,  2720,  534,  1616,  92,  4178,  2832,  658,  708,  1172,  3712,  9088,  394,  402,  417,  3329,  14338,  4385,  141,  13313,  2944,  10753,  480,  5504,  6273,  11392,  3592,  2692,  2248,  2640,  11008,  3600,  1793,  1548,  2316,  1286,  5378,  432,  5192,  13344,  6274,  1170,  12802,  1569,  7184,  3232,  3208,  3075,  344,  14352,  396,  12322,  8840,  12480,  2818,  14848,  4865,  816,  6432,  275,  4229,  452,  8356,  612,  4260,  7232,  1094,  8274,  8707,  8199,  11520,  198,  581,  8724,  2132,  39,  449,  525,  1542,  142,  5132,  12546,  778,  12424,  3092,  1186,  1298,  4768,  9346,  269,  1680,  297,  14464,  3108,  172,  12293,  6162,  1074,  197,  8368,  12672,  12418,  712,  2310,  586,  554,  582,  12294,  4290,  549,  102,  1188,  4364,  4107, 
 14, 0b01100100000010, 0b00100100011000, 0b01001100000010, 0b01001000101000, 0b01001100100000, 0b01000011100000, 0b11110000000000, 0b11000010100000, 0b00111100000000, 0b00101010100000, 0b00001000010110, 0b00011001010000, 0b00000001011100, 0b01000001010010, 0b00101100010000, 0b00001010010010, 0b00001011000100, 0b00010010010100, 0b00111010000000, 0b10001110000000, 0b00000110001010, 0b00000110010010, 0b00000110100001, 0b00110100000001, 0b11100000000010, 0b01000100100001, 0b00000010001101, 0b11010000000001, 0b00101110000000, 0b10101000000001, 0b00000111100000, 0b01010110000000, 0b01100010000001, 0b10110010000000, 0b00111000001000, 0b00101010000100, 0b00100011001000, 0b00101001010000, 0b10101100000000, 0b00111000010000, 0b00011100000001, 0b00011000001100, 0b00100100001100, 0b00010100000110, 0b01010100000010, 0b00000110110000, 0b01010001001000, 0b11010000100000, 0b01100010000010, 0b00010010010010, 0b11001000000010, 0b00011000100001, 0b01110000010000, 0b00110010100000, 0b00110010001000, 0b00110000000011, 0b00000101011000, 0b11100000010000, 0b00000110001100, 0b11000000100010, 0b10001010001000, 0b11000011000000, 0b00101100000010, 0b11101000000000, 0b01001100000001, 0b00001100110000, 0b01100100100000, 0b00000100010011, 0b01000010000101, 0b00000111000100, 0b10000010100100, 0b00001001100100, 0b01000010100100, 0b01110001000000, 0b00010001000110, 0b10000001010010, 0b10001000000011, 0b10000000000111, 0b10110100000000, 0b00000011000110, 0b00001001000101, 0b10001000010100, 0b00100001010100, 0b00000000100111, 0b00000111000001, 0b00001000001101, 0b00011000000110, 0b00000010001110, 0b01010000001100, 0b11000100000010, 0b00001100001010, 0b11000010001000, 0b00110000010100, 0b00010010100010, 0b00010100010010, 0b01001010100000, 0b10010010000010, 0b00000100001101, 0b00011010010000, 0b00000100101001, 0b11100010000000, 0b00110000100100, 0b00000010101100, 0b11000000000101, 0b01100000010010, 0b00010000110010, 0b00000011000101, 0b10000010110000, 0b11000110000000, 0b11000010000010, 0b00001011001000, 0b00100100000110, 0b00001001001010, 0b00001000101010, 0b00001001000110, 0b11000000000110, 0b01000011000010, 0b00001000100101, 0b00000001100110, 0b00010010100100, 0b01000100001100, 0b01000000001011, 
 13,  3658,  3668,  1458,  3174,  3908,  3276,  4494,  6537,  5290,  4329,  6787,  6670,  3342,  922,  5643,  7745,  7554,  3298,  7490,  993,  467,  851,  4379,  3099,  2443,  4155,  2203,  5259,  4307,  441,  6219,  6307,  4403,  7218,  7364,  7242,  7938,  5893,  4905,  7008,  3880,  4920,  1817,  1896,  5304,  5460,  1085,  5002,  5770,  882,  4314,  753,  5322,  4834,  2364,  1460,  5432,  7809,  2355,  4764,  6548,  5009,  3462,  2516,  7376,  3282,  3521,  5449,  7472,  7700,  6328,  6173,  4661,  6080,  3010,  2458,  2233,  1008,  7175,  483,  907,  4295,  2786,  3524,  4435,  3490,  965,  4885,  2199,  1145,  3016,  2505,  783,  5273,  6593,  3178,  615,  3522,  335,  3228,  1203,  1223,  3211,  5763,  4833,  6760,  3465,  6945,  7489,  6754,  3395,  1179,  7329,  3858,  826,  1803,  459,  1806,  4758,  2716,  2950,  742, 
 13, 0b0111001001010, 0b0111001010100, 0b0010110110010, 0b0110001100110, 0b0111101000100, 0b0110011001100, 0b1000110001110, 0b1100110001001, 0b1010010101010, 0b1000011101001, 0b1101010000011, 0b1101000001110, 0b0110100001110, 0b0001110011010, 0b1011000001011, 0b1111001000001, 0b1110110000010, 0b0110011100010, 0b1110101000010, 0b0001111100001, 0b0000111010011, 0b0001101010011, 0b1000100011011, 0b0110000011011, 0b0100110001011, 0b1000000111011, 0b0100010011011, 0b1010010001011, 0b1000011010011, 0b0000110111001, 0b1100001001011, 0b1100010100011, 0b1000100110011, 0b1110000110010, 0b1110011000100, 0b1110001001010, 0b1111100000010, 0b1011100000101, 0b1001100101001, 0b1101101100000, 0b0111100101000, 0b1001100111000, 0b0011100011001, 0b0011101101000, 0b1010010111000, 0b1010101010100, 0b0010000111101, 0b1001110001010, 0b1011010001010, 0b0001101110010, 0b1000011011010, 0b0001011110001, 0b1010011001010, 0b1001011100010, 0b0100100111100, 0b0010110110100, 0b1010100111000, 0b1111010000001, 0b0100100110011, 0b1001010011100, 0b1100110010100, 0b1001110010001, 0b0110110000110, 0b0100111010100, 0b1110011010000, 0b0110011010010, 0b0110111000001, 0b1010101001001, 0b1110100110000, 0b1111000010100, 0b1100010111000, 0b1100000011101, 0b1001000110101, 0b1011111000000, 0b0101111000010, 0b0100110011010, 0b0100010111001, 0b0001111110000, 0b1110000000111, 0b0000111100011, 0b0001110001011, 0b1000011000111, 0b0101011100010, 0b0110111000100, 0b1000101010011, 0b0110110100010, 0b0001111000101, 0b1001100010101, 0b0100010010111, 0b0010001111001, 0b0101111001000, 0b0100111001001, 0b0001100001111, 0b1010010011001, 0b1100111000001, 0b0110001101010, 0b0001001100111, 0b0110111000010, 0b0000101001111, 0b0110010011100, 0b0010010110011, 0b0010011000111, 0b0110010001011, 0b1011010000011, 0b1001011100001, 0b1101001101000, 0b0110110001001, 0b1101100100001, 0b1110101000001, 0b1101001100010, 0b0110101000011, 0b0010010011011, 0b1110010100001, 0b0111100010010, 0b0001100111010, 0b0011100001011, 0b0000111001011, 0b0011100001110, 0b1001010010110, 0b0101010011100, 0b0101110000110, 0b0001011100110, 
 12,  2061,  2344,  51,  562,  2194,  2100,  3108,  2089,  116,  77,  1224,  424,  201,  240,  897,  177,  3081,  3600,  720,  2328,  278,  650,  3202,  643,  456,  736,  226,  92,  3112,  198,  108,  2340,  3084,  3330,  1290,  1059,  1158,  2179,  2626,  2372,  3336,  2818,  2313,  1800,  568,  2210,  1545,  402,  1073,  2073,  180,  232,  300,  58,  2059,  387,  1188,  2067,  3090,  3840,  2440,  2704,  282,  83,  139,  291,  579,  3588,  275,  449,  2130,  2248,  1352,  1289,  2316,  312,  417,  2434,  1576,  2256,  2145,  2338,  2696,  210,  202,  834,  2578,  2193,  1185,  3456,  561,  2272,  564,  1091,  1546,  816,  2069,  1062,  178,  1098,  1376,  547,  1632,  102,  2625,  3586,  3152,  786,  554,  30,  1192,  432,  360,  163,  705,  1616,  2628,  658,  408,  1472,  54,  147, 
 12, 0b100000001101, 0b100100101000, 0b000000110011, 0b001000110010, 0b100010010010, 0b100000110100, 0b110000100100, 0b100000101001, 0b000001110100, 0b000001001101, 0b010011001000, 0b000110101000, 0b000011001001, 0b000011110000, 0b001110000001, 0b000010110001, 0b110000001001, 0b111000010000, 0b001011010000, 0b100100011000, 0b000100010110, 0b001010001010, 0b110010000010, 0b001010000011, 0b000111001000, 0b001011100000, 0b000011100010, 0b000001011100, 0b110000101000, 0b000011000110, 0b000001101100, 0b100100100100, 0b110000001100, 0b110100000010, 0b010100001010, 0b010000100011, 0b010010000110, 0b100010000011, 0b101001000010, 0b100101000100, 0b110100001000, 0b101100000010, 0b100100001001, 0b011100001000, 0b001000111000, 0b100010100010, 0b011000001001, 0b000110010010, 0b010000110001, 0b100000011001, 0b000010110100, 0b000011101000, 0b000100101100, 0b000000111010, 0b100000001011, 0b000110000011, 0b010010100100, 0b100000010011, 0b110000010010, 0b111100000000, 0b100110001000, 0b101010010000, 0b000100011010, 0b000001010011, 0b000010001011, 0b000100100011, 0b001001000011, 0b111000000100, 0b000100010011, 0b000111000001, 0b100001010010, 0b100011001000, 0b010101001000, 0b010100001001, 0b100100001100, 0b000100111000, 0b000110100001, 0b100110000010, 0b011000101000, 0b100011010000, 0b100001100001, 0b100100100010, 0b101010001000, 0b000011010010, 0b000011001010, 0b001101000010, 0b101000010010, 0b100010010001, 0b010010100001, 0b110110000000, 0b001000110001, 0b100011100000, 0b001000110100, 0b010001000011, 0b011000001010, 0b001100110000, 0b100000010101, 0b010000100110, 0b000010110010, 0b010001001010, 0b010101100000, 0b001000100011, 0b011001100000, 0b000001100110, 0b101001000001, 0b111000000010, 0b110001010000, 0b001100010010, 0b001000101010, 0b000000011110, 0b010010101000, 0b000110110000, 0b000101101000, 0b000010100011, 0b001011000001, 0b011001010000, 0b101001000100, 0b001010010010, 0b000110011000, 0b010111000000, 0b000000110110, 0b000010010011, 
 11,  166,  610,  1164,  1038,  450,  1283,  106,  424,  712,  329,  561,  114,  147,  452,  60,  525,  1185,  1035,  57,  688,  1232,  1584,  1121,  45,  202,  1569,  108,  27,  624,  1346,  1856,  1572,  646,  1031,  306,  1553,  1409,  1728,  674,  1066,  1696,  1794,  323,  1360,  163,  708,  1314,  864,  897,  294,  201,  834,  1158,  1570,  54,  149,  1217,  284,  293,  1172,  390,  464,  1285,  1920,  1560,  777,  816,  141,  169,  1162,  46,  652,  1665,  786,  277,  1098,  600,  270,  83,  312,  1808,  184,  340,  1065,  278,  1793,  1052,  120,  676,  92,  1106,  833,  1062,  960,  1545,  99,  537,  1074,  308,  480,  1094,  1554,  802,  368,  29,  780,  281,  848,  353,  531,  387,  15,  267,  912,  240,  418,  1248,  673,  664,  643,  1666,  1541, 
 11, 0b00010100110, 0b01001100010, 0b10010001100, 0b10000001110, 0b00111000010, 0b10100000011, 0b00001101010, 0b00110101000, 0b01011001000, 0b00101001001, 0b01000110001, 0b00001110010, 0b00010010011, 0b00111000100, 0b00000111100, 0b01000001101, 0b10010100001, 0b10000001011, 0b00000111001, 0b01010110000, 0b10011010000, 0b11000110000, 0b10001100001, 0b00000101101, 0b00011001010, 0b11000100001, 0b00001101100, 0b00000011011, 0b01001110000, 0b10101000010, 0b11101000000, 0b11000100100, 0b01010000110, 0b10000000111, 0b00100110010, 0b11000010001, 0b10110000001, 0b11011000000, 0b01010100010, 0b10000101010, 0b11010100000, 0b11100000010, 0b00101000011, 0b10101010000, 0b00010100011, 0b01011000100, 0b10100100010, 0b01101100000, 0b01110000001, 0b00100100110, 0b00011001001, 0b01101000010, 0b10010000110, 0b11000100010, 0b00000110110, 0b00010010101, 0b10011000001, 0b00100011100, 0b00100100101, 0b10010010100, 0b00110000110, 0b00111010000, 0b10100000101, 0b11110000000, 0b11000011000, 0b01100001001, 0b01100110000, 0b00010001101, 0b00010101001, 0b10010001010, 0b00000101110, 0b01010001100, 0b11010000001, 0b01100010010, 0b00100010101, 0b10001001010, 0b01001011000, 0b00100001110, 0b00001010011, 0b00100111000, 0b11100010000, 0b00010111000, 0b00101010100, 0b10000101001, 0b00100010110, 0b11100000001, 0b10000011100, 0b00001111000, 0b01010100100, 0b00001011100, 0b10001010010, 0b01101000001, 0b10000100110, 0b01111000000, 0b11000001001, 0b00001100011, 0b01000011001, 0b10000110010, 0b00100110100, 0b00111100000, 0b10001000110, 0b11000010010, 0b01100100010, 0b00101110000, 0b00000011101, 0b01100001100, 0b00100011001, 0b01101010000, 0b00101100001, 0b01000010011, 0b00110000011, 0b00000001111, 0b00100001011, 0b01110010000, 0b00011110000, 0b00110100010, 0b10011100000, 0b01010100001, 0b01010011000, 0b01010000011, 0b11010000010, 0b11000000101, 
 10,  412,  151,  434,  541,  91,  313,  199,  460,  527,  285,  314,  690,  681,  820,  684,  61,  174,  590,  143,  488,  453,  361,  440,  233,  558,  211,  242,  790,  793,  94,  665,  602,  796,  806,  651,  837,  535,  59,  167,  244,  217,  186,  728,  124,  551,  899,  570,  962,  626,  31,  309,  614,  809,  587,  248,  944,  203,  565,  457,  666,  968,  752,  803,  932,  372,  849,  818,  93,  301,  555,  62,  220,  234,  856,  782,  852,  722,  107,  775,  179,  47,  604,  370,  936,  481,  341,  569,  316,  205,  103,  794,  362,  55,  824,  369,  236,  618,  425,  173,  171,  707,  841,  121,  157,  286,  920,  433,  654,  709,  812,  835,  738,  913,  295,  110,  557,  901,  838,  628,  844,  158,  213, 
 10, 0b0110011100, 0b0010010111, 0b0110110010, 0b1000011101, 0b0001011011, 0b0100111001, 0b0011000111, 0b0111001100, 0b1000001111, 0b0100011101, 0b0100111010, 0b1010110010, 0b1010101001, 0b1100110100, 0b1010101100, 0b0000111101, 0b0010101110, 0b1001001110, 0b0010001111, 0b0111101000, 0b0111000101, 0b0101101001, 0b0110111000, 0b0011101001, 0b1000101110, 0b0011010011, 0b0011110010, 0b1100010110, 0b1100011001, 0b0001011110, 0b1010011001, 0b1001011010, 0b1100011100, 0b1100100110, 0b1010001011, 0b1101000101, 0b1000010111, 0b0000111011, 0b0010100111, 0b0011110100, 0b0011011001, 0b0010111010, 0b1011011000, 0b0001111100, 0b1000100111, 0b1110000011, 0b1000111010, 0b1111000010, 0b1001110010, 0b0000011111, 0b0100110101, 0b1001100110, 0b1100101001, 0b1001001011, 0b0011111000, 0b1110110000, 0b0011001011, 0b1000110101, 0b0111001001, 0b1010011010, 0b1111001000, 0b1011110000, 0b1100100011, 0b1110100100, 0b0101110100, 0b1101010001, 0b1100110010, 0b0001011101, 0b0100101101, 0b1000101011, 0b0000111110, 0b0011011100, 0b0011101010, 0b1101011000, 0b1100001110, 0b1101010100, 0b1011010010, 0b0001101011, 0b1100000111, 0b0010110011, 0b0000101111, 0b1001011100, 0b0101110010, 0b1110101000, 0b0111100001, 0b0101010101, 0b1000111001, 0b0100111100, 0b0011001101, 0b0001100111, 0b1100011010, 0b0101101010, 0b0000110111, 0b1100111000, 0b0101110001, 0b0011101100, 0b1001101010, 0b0110101001, 0b0010101101, 0b0010101011, 0b1011000011, 0b1101001001, 0b0001111001, 0b0010011101, 0b0100011110, 0b1110011000, 0b0110110001, 0b1010001110, 0b1011000101, 0b1100101100, 0b1101000011, 0b1011100010, 0b1110010001, 0b0100100111, 0b0001101110, 0b1000101101, 0b1110000101, 0b1101000110, 0b1001110100, 0b1101001100, 0b0010011110, 0b0011010101, 
 9,  78,  294,  402,  15,  418,  150,  480,  323,  105,  39,  225,  356,  390,  226,  312,  43,  210,  51,  417,  387,  338,  170,  297,  332,  326,  389,  306,  77,  393,  204,  172,  360,  452,  141,  368,  216,  30,  116,  166,  23,  198,  180,  120,  101,  228,  71,  177,  165,  300,  149,  404,  114,  45,  305,  29,  275,  89,  420,  340,  139,  308,  156,  54,  270,  424,  263,  284,  60,  330,  281,  408,  202,  58,  354,  178,  240,  108,  75,  184,  142,  282,  329,  163,  267,  102,  278,  169,  353,  53,  232,  293,  401,  197,  86,  147,  269,  432,  209,  27,  83,  113,  394,  135,  277,  449,  85,  154,  464,  153,  396,  298,  195,  325,  57,  337,  450,  201,  92,  106,  291,  46,  99, 
 9, 0b001001110, 0b100100110, 0b110010010, 0b000001111, 0b110100010, 0b010010110, 0b111100000, 0b101000011, 0b001101001, 0b000100111, 0b011100001, 0b101100100, 0b110000110, 0b011100010, 0b100111000, 0b000101011, 0b011010010, 0b000110011, 0b110100001, 0b110000011, 0b101010010, 0b010101010, 0b100101001, 0b101001100, 0b101000110, 0b110000101, 0b100110010, 0b001001101, 0b110001001, 0b011001100, 0b010101100, 0b101101000, 0b111000100, 0b010001101, 0b101110000, 0b011011000, 0b000011110, 0b001110100, 0b010100110, 0b000010111, 0b011000110, 0b010110100, 0b001111000, 0b001100101, 0b011100100, 0b001000111, 0b010110001, 0b010100101, 0b100101100, 0b010010101, 0b110010100, 0b001110010, 0b000101101, 0b100110001, 0b000011101, 0b100010011, 0b001011001, 0b110100100, 0b101010100, 0b010001011, 0b100110100, 0b010011100, 0b000110110, 0b100001110, 0b110101000, 0b100000111, 0b100011100, 0b000111100, 0b101001010, 0b100011001, 0b110011000, 0b011001010, 0b000111010, 0b101100010, 0b010110010, 0b011110000, 0b001101100, 0b001001011, 0b010111000, 0b010001110, 0b100011010, 0b101001001, 0b010100011, 0b100001011, 0b001100110, 0b100010110, 0b010101001, 0b101100001, 0b000110101, 0b011101000, 0b100100101, 0b110010001, 0b011000101, 0b001010110, 0b010010011, 0b100001101, 0b110110000, 0b011010001, 0b000011011, 0b001010011, 0b001110001, 0b110001010, 0b010000111, 0b100010101, 0b111000001, 0b001010101, 0b010011010, 0b111010000, 0b010011001, 0b110001100, 0b100101010, 0b011000011, 0b101000101, 0b000111001, 0b101010001, 0b111000010, 0b011001001, 0b001011100, 0b001101010, 0b100100011, 0b000101110, 0b001100011, 
